episode,t,temp,vib,press,curr,severity,fault,y,risk_A,risk_B,fuzzy,qflpn,rule,qprob
0,0,-0.007671393390862367,0.14614373058448854,0.01844657060609442,-0.02220823172923133,0.0,2,0,0.08918527472135374,0.13643550821994765,0.1128103914706507,0.012168038282343547,0.09589896395881523,0.012168038282343547
0,1,0.027220357101954154,0.11640604853139555,-0.02432954252674184,-0.021101000595008208,0.0,2,0,0.09777800454152386,0.1337248076380677,0.11575140608979578,0.013075344848549388,0.08790800367305318,0.013075344848549388
0,2,0.0546530314080339,0.0927020502776925,0.018093607654096684,-0.010785522461457435,0.0,2,0,0.10785982775450775,0.11470061496980621,0.11128022136215698,0.012371588573979412,0.09261280910939533,0.012371588573979412
0,3,-0.05968085854749101,0.12591478214657198,0.06641253571355092,0.06160289248830618,0.0,2,0,0.10313436841401191,0.11847607842488805,0.11080522341944998,0.012218955520519773,0.13239071931499394,0.012218955520519773
0,4,0.016949558333443682,0.11480199915086081,0.05773803551347524,-0.025829841411740866,0.0,2,0,0.09408176568588356,0.11537602296057459,0.10472889432322907,0.0108547799579459,0.08582424198563501,0.0108547799579459
0,5,0.021366621665783396,0.18403715314985308,0.09810481513010702,-0.056642417168603576,0.0,2,0,0.08865220519049422,0.14188089568727225,0.11526655043888323,0.012578054277079165,0.11576844593299933,0.012578054277079165
0,6,0.003542900293903223,0.10430383476279258,0.06088922883589604,0.10508310996816389,0.0,2,0,0.13120418409753898,0.11070327142474978,0.12095372776114438,0.014524732404212697,0.1626791918835567,0.014524732404212697
0,7,0.07185264403434122,0.094595607196714,0.013269489897607421,-0.09114473077378848,0.0,2,0,0.09710458446428827,0.11643416501003523,0.10676937473716175,0.011306291210745844,0.07377997886970933,0.011306291210745844
0,8,0.05401267305929209,0.10150357215589584,0.15824634191244744,0.04993650230131062,0.0,2,0,0.12448087931349194,0.09622822249115093,0.11035455090232144,0.01197857375047281,0.12512177858274376,0.01197857375047281
0,9,0.11404048898309196,0.03232212893711865,0.03387796844216574,0.10178857037471334,0.0,2,0,0.16243941985381738,0.09253243877757367,0.12748592931569552,0.01503091567268794,0.16020142191982606,0.01503091567268794
